input,output
"""그 전에 난 먼저 사과를 해야겠지. 그러나 놀라지 않는다고 약속한 거잖아. 지금까지의 일은 모두 현순 씨가 한 거야. 난 그냥 명령을 따랐을 뿐이야. 평범하게 말하면 운명이지, 운명. 하지만 이 이상 난 더 이야기할 수가 없어. 현순 씨가 자신의 과거를 들려주지 않겠지. 팔 년 동안 걸어온 여성의 이야기는 그 여성의 기록이 알려줄 것이야.""","A가 이렇게 말을 마칠 때까지 현순은 한성의 무릎에 엎드려 울음을 터뜨렸다. 이미 울 기운마저 사라진 현순이었지만 한성의 무릎 위에서 울고 울었다.  과거 팔 년 동안 현순은 지금까지 울어본 적 없는 울음을 터뜨렸다. 설움은 더 많은 설움을 만들었고, 눈물은 계속해서 흘렀다. 그러나 현순만이 운명의 희생양은 아니었다. 한 여성의 비애는 한성의 눈물을 자아냈고, 한 여성과의 우정은 A마저도 울렸던 것이다. 현순을 찾아 A의 집에서 나온 한성은 A를 집으로 보내고 혼자 밤길을 헤맸다. 수백 편의 소설을 읽고 수십 편을 써온 그에게는 이러한 현실은 이전에 경험한 적이 없었고 상상하기도 어려웠다. 믿기지 않는 사실이지만 이 사실은 현실로 존재하고 있었으며 한성은 그 사실에 믿음직스러움을 느낄 수밖에 없었다. 현순의 요청으로 일을 한 것이라고는 하지만 이러한 연극을 연출한 A에게 원망스러움만이 남았다.그 날 밤 세 시까지 한성은 길을 헤맸다. 왜 그런지 그 현실의 어떤 부분이 자신을 괴롭게 하는지조차 그는 알지 못했다. 단지 괴로운 가슴의 고통을 깨닫고 있었다. 이 고통을 안고 잠을 자기엔 어려움이 가득했다. 더욱이 아직도 서로 어색한 관계인 A의 동료인 J에게 그 모습을 보이고 싶지 않아서 그는 그 날 밤을 여관에서 보내고 다음 날도 정오가 되어서야 A의 하숙집으로 돌아갔다."
"""아이구, 이제 오셨군요!""",주인마님이 반갑게 맞이했다. 들어오자마자 알게 되었는데 새벽에 수색원을 내려다가 함창여관에서 사라졌다는 말을 A로부터 들어서야 했기 때문이다.
"""A가 그래요?""",그래서 그는 조금 의아했다. 그리고 생각해보니 간밤에 계속해서 자신의 뒤를 쫓아다니던 것이 A였다는 생각이 들자 마음속에서 감사의 마음이 생겼다.방에 들어가는 것도 싫어서 퇴로 앉아있었는데 A도 친구의 집에서 자고서야 그제서야 돌아왔다.그 날 밤 A와 함께 현순을 찾았다.현순을 보는 것은 지금과 같은 비참한 상태의 현순을 보는 것이 괴롭기는 했다. 그러나 이제는 현순을 볼 수 없는 것보다는 그렇게 못 보는 것이 더 괴로웠다. 이미 그를 구해줄 힘은 더 이상 남아있지 않았다. 오히려 이 세상 어디에도 그런 힘이 없을 것이었다. 그리고 그 앞으로도 몇 날 밖에 남지 않은 한 여성을 가슴 한가득 안아주어 최후의 순간을 행복한 마음으로 보내줄 수 있는 것이 그의 위안이었다.  
"""오셨어요?""",한성이 방문할 때마다 현순의 눈가에는 눈물이 고이곤 했습니다. 그것을 보는 것은 현순에게는 참으로 괴로운 일이었습니다.
"""현순아, 왜 나만 보면 울어? 만약 그러면 나는 내일이라도 서울로 가겠어. 약속해줄래?""","현순은 순진하게 고개를 끄덕였고, 그러자 한성은 갈퀴발처럼 된 손으로 현순의 손을 잡아주었습니다.다음 날, 한성은 혼자로 오전에 찾아갔습니다. 다행히 의사가 있어서 현순의 생사 여부만 물어봤습니다."
"""글쎄요, 병자한테는 말하기 어려운 일이지만, 어렵겠죠. 폐암 제3기를 넘는다면 끝이니까요. 혹시 산다면 기적일 거에요. 그러나 병자에게는 그런 말은 절대로 하지 말아야 합니다. 하르빈에서 여기 온 이래로 절망적이었어요.""","하지만 하르빈에서 어떤 생활을 했는지는 의사도 알지 못하는 모양이었습니다. 의사도 아니라 A조차도 현순이 하르빈에서 온다는 사실만 알 뿐이었고, 그녀의 하르빈에서의 생활에 대해서는 아무런 정보도 갖고 있지 않았습니다.그 정보는 오직 현순의 기록 속에만 담겨 있었는데, 그 기록은 일찍이 A가 처음 몇 장을 훔쳐봤을 뿐이었습니다. 아직도 아무도 그 기록을 읽어본 사람은 없었습니다.의도치 않게 현순과의 만남을 통해 한성의 일상은 하루하루 지나갔습니다. 그는 현순의 치료 과정을 벗어나지 못했습니다. 밤낮으로 그녀 곁에 머물며 지냈습니다. 좋은 잠을 자려고 A의 하숙집으로 찾아간 어느 날, 새벽이 되어서야 A가 허둥지둥 달려들었습니다. A와 그가 병실을 나온 지 얼마 되지 않아 누군가가 왔다는 사실만으로도 한성은 모든 것을 직감할 수 있었습니다.  "
"""왜 그런 일이 생겼어?""",한성은 바지를 차며 물었다.
"""아마 몰핀을 먹은 걸까, 말도 안 되는 일이지만...""",그들이 의사를 만난 후였다. 
"""현순아!""", 한성의 소리에 현순은 힘겹게 눈을 떴다가 다시 감았다. 그럼에도 불구하고 큰 눈물이 눈동자보다도 빠르게 천천히 흘러내렸다.
"""선생님, 이 어리석은 계집은 거미줄을 타고 세상을 떠날 뻔 했습니다. 그러나 하늘이 선생님의 품 안에서 죽게 된 것만으로도 너무나 행복했습니다...""","현순은 혀가 굳은 지 오래되었다. 가슴 속에 쌓인 한숨을 입으로 전할 길이 없어서, 말은 간단하지만 참으로 애절한 편지를 A와 한성에게 한 장씩 남기고 영원히 떠났다."
"""저 녀석이야말로, 이런 놈아!""",
